Team,2018,2019
Arsenal,6,5
Aston Villa,,
Birmingham,,
Blackburn,,
Blackpool,,
Bolton,12,14
Bournemouth,,
Brighton,15,17
Bradford,7,15
Burnley,,18
Cardiff,,
Charlton,5,3
Chelsea,,
Coventry,11,12
Crystal Palace,,
Derby,8,8
Everton,,19
Fulham,,
Huddersfield,16,20
Hull,,
Ipswich,,
Leeds,9,9
Leicester,4,2
Liverpool,1,1
Man City,2,6
Man United,,
Middlesboro,,
Middlesbrough,10,13
Newcastle,,
Norwich,,
Portsmouth,,
QPR,,
Reading,,
Sheffield United,17,16
Southampton,19,
Stoke,,
Sunderland,18,
Swansea,3,4
Tottenham,14,11
Watford,20,
West Brom,13,10
West Ham,,
Wigan,,7
Wolves,,
Wimbledon,,
